Mnemonic,WPIINDO.Q.FMFT,WPI06.Q.FMFT,WPI10.Q.FMFT,WPI09.Q.FMFT,JEXCHMTPREAL.Q.FMFT,Q2,Q3,Q4
1997 Q1,1.427027392,1.438013808,1.314699764,1.667677044,1.211146742,0,0,0
1997 Q2,1.439281289,1.431824226,1.319623485,1.663307368,1.226015769,1,0,0
1997 Q3,1.445395019,1.435521229,1.320156563,1.678965835,1.239959973,0,1,0
1997 Q4,1.452840854,1.438499679,1.315467138,1.704367039,1.248807379,0,0,1
1998 Q1,1.451760678,1.439892162,1.297978344,1.719842461,1.27950891,0,0,0
1998 Q2,1.470182151,1.44567009,1.289709064,1.720887826,1.300199795,1,0,0
1998 Q3,1.481460161,1.438989262,1.271815284,1.717782759,1.327598998,0,1,0
1998 Q4,1.501819262,1.433422401,1.250776311,1.708216564,1.269295647,0,0,1
1999 Q1,1.537376846,1.420711125,1.23244748,1.708864088,1.28841791,0,0,0
1999 Q2,1.538793638,1.423528052,1.233812864,1.726073016,1.325369804,1,0,0
1999 Q3,1.54987739,1.448475914,1.248188434,1.75191472,1.316090583,0,1,0
1999 Q4,1.573232716,1.475875923,1.270693668,1.777156125,1.291342323,0,0,1
2000 Q1,1.576025833,1.488264406,1.285688863,1.802979521,1.311908118,0,0,0
2000 Q2,1.582887208,1.50787895,1.28035275,1.845726458,1.342982417,1,0,0
2000 Q3,1.596042899,1.521566582,1.280109075,1.846190798,1.361422935,0,1,0
2000 Q4,1.605347502,1.521852872,1.275880966,1.852168763,1.397194266,0,0,1
2001 Q1,1.634628653,1.547165081,1.266404312,1.854135095,1.390325512,0,0,0
2001 Q2,1.660178105,1.533970237,1.257234891,1.850695834,1.438855357,1,0,0
2001 Q3,1.670046923,1.504939081,1.250467691,1.843337752,1.430574384,0,1,0
2001 Q4,1.67365109,1.487709493,1.242042547,1.84300483,1.451833915,0,0,1
2002 Q1,1.663427018,1.474857735,1.239790924,1.845022409,1.493112106,0,0,0
2002 Q2,1.674570492,1.503322612,1.253424877,1.848869708,1.443000395,1,0,0
2002 Q3,1.679204831,1.53764739,1.267818686,1.864660293,1.384411658,0,1,0
2002 Q4,1.673793884,1.558322747,1.276672884,1.876984903,1.378513742,0,0,1
2003 Q1,1.662474182,1.612309441,1.281272627,1.887614559,1.310541734,0,0,0
2003 Q2,1.663237213,1.617884315,1.277829768,1.896783685,1.250108203,1,0,0
2003 Q3,1.665415169,1.61408444,1.288569049,1.903557929,1.249986432,0,1,0
2003 Q4,1.675639678,1.627996603,1.321545733,1.912846577,1.18416926,0,0,1
2004 Q1,1.684814256,1.671222031,1.402691664,1.920070324,1.154776936,0,0,0
2004 Q2,1.694500488,1.707952117,1.461340006,1.945008939,1.187821964,1,0,0
2004 Q3,1.714653751,1.766327953,1.529415672,1.972085933,1.162035854,0,1,0
2004 Q4,1.736079454,1.828933715,1.591025396,1.990565073,1.095509415,0,0,1
2005 Q1,1.777866185,1.86988364,1.612050263,2.013370592,1.088974094,0,0,0
